appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
307430,Reversi,game,9.99,"2015-03-19 00:00:00",-1,0,1,307430,Indie
307430,Reversi,game,9.99,"2015-03-19 00:00:00",-1,0,1,307430,Strategy
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,Action
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,"Early Access"
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,Indie
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,Racing
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,Simulation
308080,"Altitude0: Lower & Faster",game,18.99,"2014-09-01 00:00:00",-1,0,1,308080,Sports
311290,"SpellForce 3",game,0,"2016-05-07 20:16:00",-1,0,1,311290,RPG
311290,"SpellForce 3",game,0,"2016-05-07 20:16:00",-1,0,1,311290,Strategy
311840,"Wildlife Park",game,6.99,"2015-04-01 00:00:00",-1,0,0,311840,Casual
311840,"Wildlife Park",game,6.99,"2015-04-01 00:00:00",-1,0,0,311840,Indie
311840,"Wildlife Park",game,6.99,"2015-04-01 00:00:00",-1,0,0,311840,Simulation
311840,"Wildlife Park",game,6.99,"2015-04-01 00:00:00",-1,0,0,311840,Strategy
322440,"Red Goddess: Inner World",game,9.99,"2015-08-31 00:00:00",53,0,0,322440,Action
322440,"Red Goddess: Inner World",game,9.99,"2015-08-31 00:00:00",53,0,0,322440,Adventure
322440,"Red Goddess: Inner World",game,9.99,"2015-08-31 00:00:00",53,0,0,322440,Indie
324110,"Moto Racer Collection",game,9.99,"2014-10-02 00:00:00",-1,0,0,324110,Racing
324110,"Moto Racer Collection",game,9.99,"2014-10-02 00:00:00",-1,0,0,324110,Sports
327890,"I am Bread",game,12.99,"2015-04-09 00:00:00",60,0,0,327890,Action
327890,"I am Bread",game,12.99,"2015-04-09 00:00:00",60,0,0,327890,Adventure
327890,"I am Bread",game,12.99,"2015-04-09 00:00:00",60,0,0,327890,Indie
327890,"I am Bread",game,12.99,"2015-04-09 00:00:00",60,0,0,327890,Simulation
328470,"Slave Zero",game,6.99,"2014-10-23 00:00:00",-1,0,0,328470,Action
332760,"Friendship Club",game,11.99,"2015-03-24 00:00:00",-1,0,0,332760,Action
332760,"Friendship Club",game,11.99,"2015-03-24 00:00:00",-1,0,0,332760,"Early Access"
332760,"Friendship Club",game,11.99,"2015-03-24 00:00:00",-1,0,0,332760,Indie
