appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Name,Percentage
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_CROWS_NECK,73.2921
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ENDGAME,13.5848
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ENDGAME_EXTRA_HARD,2.54276
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_FOUNDATIONS,80.9144
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_MEMENTO_MORI,30.2446
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_MEMENTO_MORI_EXTRA_HOLDOUT,9.88664
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_NIGHT_AND_DAY,51.8174
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_NIGHT_AND_DAY_EXTRA_NOLOSS,13.7909
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_NIGHT_AND_DAY_EXTRA_TIME,8.37148
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_OPENING_GAMBITS,88.7013
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_PERIAPSIS,19.4492
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_PERIAPSIS_EXTRA_NOLOSS,14.9127
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_PREPARATIONS,42.3341
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_PREPARATIONS_EXTRA_TIME,7.27847
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_RUINS,19.7574
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_RUINS_RAID,9.73899
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_SCIENCE_STATION,67.2157
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_SUDDEN_STRIKE_EXTRA,58.4052
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_TENSION,21.9236
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_TENSION_EXTRA_NOLOSS,2.25439
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_TERMINUS,6.61652
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_TERMINUS_RAID,4.41564
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_THE_RETURN,35.5897
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_WARPATH,87.5478
