app_id,is_multiplayer,price,rating,release_date,required_age,title
21130,0,19.99,79,"2010-06-29 00:00:00",0,"LEGO Harry Potter: Years 1-4"
21640,0,4.99,65,"2009-04-07 00:00:00",0,Flock!
21660,1,19.99,91,"2009-07-07 00:00:00",0,"Street Fighter® IV"
21670,1,9.99,69,"2009-07-28 00:00:00",17,"Bionic Commando"
21680,0,9.99,86,"2009-07-28 00:00:00",17,"Bionic Commando: Rearmed"
21690,1,19.99,86,"2009-09-15 00:00:00",17,"Resident Evil™ 5/ Biohazard 5®"
21760,1,9.99,89,"2008-12-04 00:00:00",0,"World In Conflict"
21780,0,9.99,61,"2009-02-13 00:00:00",17,"Driver® Parallel Lines"
21800,1,9.99,68,"2009-02-25 00:00:00",0,"Tom Clancy's EndWar™"
21980,1,9.99,78,"2009-07-02 00:00:00",17,"Call of Juarez®: Bound in Blood"
22000,0,9.99,90,"2008-10-13 00:00:00",0,"World of Goo"
22100,0,9.99,72,"2008-11-03 00:00:00",0,"Mount & Blade"
22120,0,9.99,78,"2009-01-23 00:00:00",17,"Penumbra: Black Plague Gold Edition"
22130,1,14.99,83,"2009-01-23 00:00:00",0,"Hearts of Iron 2 Complete"
22140,0,0,67,"1970-01-01 00:00:00",0,"Penumbra: Requiem"
22180,0,9.99,73,"2009-03-06 00:00:00",17,"Penumbra Overture"
22200,0,9.99,77,"2009-04-21 00:00:00",0,"Zeno Clash"
22230,1,9.99,74,"2011-09-07 00:00:00",0,"Rock of Ages"
22300,0,9.99,91,"2008-10-28 00:00:00",17,"Fallout 3"
22310,1,9.99,29,"2009-12-01 00:00:00",17,"Rogue Warrior"
22320,0,19.99,89,"2009-06-16 00:00:00",0,"The Elder Scrolls III: Morrowind® Game of the Year Edition"
22330,0,19.99,94,"2009-06-16 00:00:00",17,"The Elder Scrolls IV: Oblivion® Game of the Year Edition"
22340,0,9.99,76,"2009-06-16 00:00:00",17,"Call of Cthulhu®: Dark Corners of the Earth"
22350,1,19.99,70,"2011-05-09 00:00:00",0,BRINK
22370,0,19.99,91,"2009-12-17 00:00:00",17,"Fallout 3: Game of the Year Edition"
22380,0,9.99,84,"2010-10-19 00:00:00",16,"Fallout: New Vegas"
