,app_id,is_multiplayer,price,rating,release_date,required_age,title,ratings2021
271,15200,1,9.99,79,2008-06-13 00:00:00,0,Silent Hunter®: Wolves of the Pacific,66
272,15210,1,9.99,90,2008-06-13 00:00:00,0,Silent Hunter® III,86
273,15230,1,9.99,72,2008-05-13 00:00:00,0,Blazing Angels® 2: Secret Missions of WWII,-1
274,15270,0,9.99,66,2008-05-13 00:00:00,17,Cold Fear™,84
275,15280,1,9.99,86,2008-06-13 00:00:00,0,IL-2 Sturmovik: 1946,89
276,15300,0,9.99,80,2008-07-15 00:00:00,17,Tom Clancy's Ghost Recon®,92
277,15310,0,9.99,58,2008-07-22 00:00:00,0,The Settlers®: Heritage of Kings,-1
278,15320,1,9.99,86,2008-06-13 00:00:00,0,IL-2 Sturmovik: 1946,89
279,15370,0,9.99,70,2008-10-10 00:00:00,0,Heroes of Might & Magic V: Tribes of the East,92
280,15380,0,9.99,66,2008-10-10 00:00:00,0,Heroes of Might & Magic V: Hammers of Fate,87
281,15390,0,9.99,79,2008-10-08 00:00:00,17,Brothers in Arms: Hell's Highway™,89
282,15520,0,9.99,81,2009-09-03 00:00:00,0,AaAaAA!!! - A Reckless Disregard for Gravity,84
283,15620,1,19.99,85,2009-02-18 00:00:00,17,"Warhammer® 40,000™: Dawn of War® II",87
284,16300,0,9.99,77,2008-05-08 00:00:00,0,Everyday Shooter,92
285,16450,1,14.99,79,2009-02-12 00:00:00,17,F.E.A.R. 2: Project Origin,85
286,16710,0,2.99,65,2008-07-01 00:00:00,0,Insecticide Part 1,75
287,16720,0,4.99,61,2009-05-01 00:00:00,17,Velvet Assassin,60
288,16730,0,2.99,50,2008-12-01 00:00:00,17,Legendary,54
289,16810,1,19.99,83,2008-09-23 00:00:00,0,Sid Meier's Civilization IV: Colonization,85
290,17080,1,0.0,86,2012-06-27 00:00:00,0,Tribes: Ascend,79
291,17100,0,7.99,75,2008-07-08 00:00:00,0,Children of the Nile: Enhanced Edition,83
292,17140,0,9.99,65,2008-09-30 00:00:00,0,Hinterland,76
293,17300,0,19.99,91,2008-09-17 00:00:00,17,Crysis,82
294,17330,0,19.99,84,2008-09-17 00:00:00,17,Crysis Warhead®,84
295,17340,0,19.99,84,2008-09-17 00:00:00,17,Crysis Warhead®,84
296,17390,0,19.99,84,2008-12-19 00:00:00,0,SPORE™,90
297,17410,0,19.99,81,2009-01-14 00:00:00,0,Mirror's Edge™,87
298,17430,1,9.99,65,2008-12-19 00:00:00,0,Need for Speed Undercover,73
299,17450,0,19.99,91,2009-11-05 00:00:00,17,Dragon Age: Origins,92
300,17460,0,19.99,89,2008-12-19 00:00:00,17,Mass Effect,94
301,17470,0,19.99,86,2009-01-09 00:00:00,0,Dead Space,91
302,17480,0,19.99,82,2009-01-08 00:00:00,0,Command & Conquer: Red Alert 3,84
303,17710,1,9.99,71,2011-09-26 00:00:00,0,Nuclear Dawn,78
304,18040,0,14.99,77,2010-10-25 00:00:00,0,DeathSpank,94
305,18050,0,14.99,78,2010-11-30 00:00:00,0,DeathSpank: Thongs of Virtue,87
306,18070,0,14.99,63,2011-08-31 00:00:00,0,The Baconing,75
307,18120,0,9.99,73,2012-01-19 00:00:00,0,Unstoppable Gorg,78
308,18400,0,14.99,72,2008-06-20 00:00:00,0,Crazy Machines 2,57
309,18420,0,9.99,78,2008-12-12 00:00:00,0,Crazy Machines,81
310,18450,0,9.99,78,2008-12-12 00:00:00,0,Crazy Machines 1.5,-1
311,18460,0,9.99,78,2008-12-12 00:00:00,0,Crazy Machines 1.5,-1
312,18470,0,9.99,65,2009-04-30 00:00:00,0,Helldorado,77
