app_id,sum(CGS.total_play_time)
8660,2380193
8690,340957
8740,60952
8790,689383
8840,4422175
8890,5841069
8970,705975
9000,940088
9030,1067882
9040,1393546
9060,1970433
9070,6478426
9160,889285
9180,3466933
9310,30788120
9400,4518902
9450,221321017
9740,6877693
9850,1623123
9860,25345770
9960,189929
9970,287545
10000,13462262
10040,30443
10080,3283662
10100,4005256
10110,2829493
10120,113632
10140,642531
10170,14226812
10230,760960
10240,603700
10250,948410
10260,447704
10400,68664
10410,11238
10420,662982
10430,14716730
10440,5232
10470,20512
10480,931624
10490,89500
10510,75582
10520,161955
10540,5794753521
10560,127607574
10590,80148213
10630,7470698
10650,452401
10660,581897
10690,4773616
10699,NULL
10700,2716841
11060,5297123
11120,9491563
11130,755926
11170,36051470
11180,800715
11230,286614
11240,3642025
11280,393151
11330,2405978
11360,1457189
11390,2820946
11420,6144408
11440,12409820
11500,10114668
11520,3254246
11550,1216507
11610,1922402
11920,2168863
12170,5947377
12180,3904481
12190,51636
12220,449547611
12230,1472418
12240,3256202
12250,15859678
12260,865075
12300,291181
12370,20850600
12380,1517338
12390,772780
12400,862648
12430,1017801
12440,372916
12450,277580
12460,804876
12480,1189574
12510,2898072
12520,13503008
12530,1692095
12540,318967
12550,94763
12560,530740
12570,151532
12580,185880
12590,1444564
12600,140981
12650,79000
12660,75807
12670,835
12690,4392135
12710,39795126
12720,386
12800,18050885
12840,175300308
12860,4980619
13120,2129459
13250,5867827
13510,17089254
13640,7622575
13650,4
13660,0
13700,2663875
15060,377355
15130,15991119
15140,526888
15150,508048
15160,1669325
15220,589042
15240,7481355
15260,8894993
15290,436696
15330,498900
15350,134617
15400,6074824
15500,6688047
15540,4013198
15560,2663145
15700,18153737
15710,12762164
15740,4428271
15750,8598521
15800,15962
15900,7305527
15910,4268673
15920,6160304
15930,5039938
15940,120334
15950,1862987
15960,1718026
15970,7165344
15980,228570
15990,1981210
16000,621671
16020,1007430
16030,3558571
16040,4446809
16060,1353232
16090,828902
16100,3585866
16110,3025440
16120,7786242
16130,4896814
16180,4993388
16200,4964425
16480,2966862
16500,76554
16600,31625564
16620,4384237
16700,2073017
17020,497078998
17030,1217545
17120,10864737
17180,1043473
17400,11914348
17420,10386093
