app_id,average_achievement_percentage
8850,10.668544012834044
8870,21.339750505802108
8880,NULL
8930,8.564277487680544
8980,21.414551282674076
9010,NULL
9050,NULL
9200,14.16818841290266
9340,NULL
9350,NULL
9420,NULL
9460,NULL
9480,NULL
9500,0.6181890043345365
9710,NULL
9730,NULL
9760,NULL
9800,NULL
9870,NULL
9880,6.523640328038852
9900,NULL
9930,11.895773076174551
9940,8.273948186635971
9980,NULL
9990,9.568313439687094
10090,NULL
10130,NULL
10150,NULL
10180,34.36766551017761
10190,NULL
10220,8.904495371015448
10460,NULL
10500,8.739779161864943
10530,NULL
10680,20.020082731246948
11040,NULL
11050,NULL
11140,NULL
11150,NULL
11190,NULL
11200,NULL
11250,NULL
11260,NULL
11340,12.824243965148925
11370,NULL
11450,NULL
11480,NULL
11560,NULL
11590,NULL
11900,NULL
12100,NULL
12110,NULL
12120,NULL
12130,NULL
12140,NULL
12150,NULL
12160,NULL
12200,NULL
12210,NULL
12310,NULL
12320,NULL
12330,NULL
12340,NULL
12360,NULL
12420,NULL
12470,NULL
12500,NULL
12630,NULL
12640,NULL
12750,NULL
12770,NULL
12790,NULL
12810,NULL
12830,NULL
12900,17.766869576353777
13000,15.809926634797684
13140,5.748752241403285
13200,NULL
13210,2.810559529981251
13230,NULL
13240,NULL
13500,NULL
13520,NULL
13530,NULL
13540,NULL
13560,NULL
13570,NULL
13580,NULL
13600,NULL
13620,NULL
13630,NULL
15000,NULL
15080,NULL
15100,NULL
15120,NULL
15170,NULL
15190,NULL
15200,NULL
15210,NULL
15230,NULL
15270,NULL
15280,NULL
15300,NULL
15310,NULL
15320,NULL
15370,NULL
15380,NULL
15390,NULL
15520,11.409569736926642
15620,3.795153240446706
16300,NULL
16450,NULL
16710,NULL
16720,NULL
16730,NULL
16810,NULL
17080,NULL
17100,4.227358193958507
17140,19.51676975356208
17300,NULL
17330,NULL
17340,NULL
17390,NULL
17410,NULL
17430,NULL
17450,NULL
17460,NULL
17470,NULL
17480,NULL
17710,3.9126781910987725
18040,30.570974985758465
18050,24.800526765676643
18070,12.094701518615087
18120,14.762198938477423
18400,NULL
18420,NULL
18450,NULL
18460,NULL
18470,NULL
18480,NULL
18500,30.375210501096696
18700,7.8326136310895285
19000,NULL
19030,12.617096021771431
19680,NULL
19800,NULL
19810,NULL
19830,NULL
19900,NULL
19930,NULL
19980,NULL
20500,2.3820094281918665
20510,NULL
20530,NULL
20540,NULL
20550,NULL
20570,2.050555735021024
20710,24.04526364306609
20820,16.178741439280202
20900,NULL
20920,16.071535728298702
21000,NULL
21010,NULL
21030,NULL
21090,NULL
21100,12.554105026721954
21110,NULL
21120,NULL
21130,NULL
21640,14.213861382924593
21660,NULL
21670,NULL
21680,NULL
21690,8.757310725535666
21760,NULL
21780,NULL
21800,NULL
21980,NULL
22000,2.287080340087414
22100,NULL
22120,NULL
22130,NULL
22140,NULL
22180,NULL
22200,8.943299212239005
22230,11.75954149900075
22300,NULL
22310,17.561792311403487
22320,NULL
22330,NULL
22340,NULL
22350,13.182468790465215
22370,NULL
22380,15.473437248183119
22450,NULL
22490,16.85318867047628
22600,2.2814269686331516
22610,11.323845112952403
22650,7.34281220802894
22670,7.319342429821308
23310,NULL
23380,NULL
