app_id,title,price,release_date,rating,required_age,is_multiplayer,total_positive,total_negative
3230,Genesis Rising,4.99,2007-08-06 00:00:00,57,0,1,31,80
3260,Safecracker: The Ultimate Puzzle Adventure,4.99,2007-08-29 00:00:00,69,0,0,190,154
3270,Painkiller Overdose,4.99,2007-10-30 00:00:00,65,17,1,405,151
3300,Bejeweled 2 Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,246,18
3310,Chuzzle Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,387,27
3320,Insaniquarium Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,2338,97
3330,Zuma Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,1229,81
3340,AstroPop Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,46,11
3350,Bejeweled Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,91,16
3360,Big Money! Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,46,6
3370,Bookworm Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,44,4
3380,Dynomite Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,110,6
3390,Feeding Frenzy 2 Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,614,18
3400,Hammer Heads Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,40,4
3410,Heavy Weapon Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,119,29
3420,Iggle Pop Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,18,1
3430,Pizza Frenzy Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,69,3
3440,Rocket Mania Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,49,1
3450,Typer Shark! Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,137,31
3460,Talismania Deluxe,4.99,2006-08-30 00:00:00,-1,0,0,26,0
3470,Bookworm Adventures Deluxe,4.99,2007-01-04 00:00:00,82,0,0,73,4
3480,Peggle Deluxe,4.99,2007-03-06 00:00:00,-1,0,0,2111,69
3483,Peggle Extreme,0.0,2007-09-11 00:00:00,-1,0,0,2,0
3490,Venice Deluxe,4.99,2007-06-25 00:00:00,-1,0,0,15,2
3500,Mystery P.I.™ - The Lottery Ticket,4.99,2007-10-16 00:00:00,-1,0,0,11,6
3510,Amazing Adventures The Lost Tomb™,4.99,2007-12-13 00:00:00,-1,0,0,36,8
3520,Mystery P.I.™ - The Vegas Heist,4.99,2008-06-05 00:00:00,-1,0,0,14,5
3530,Amazing Adventures Around the World,4.99,2009-04-15 00:00:00,-1,0,0,35,8
3540,Peggle™ Nights,4.99,2008-10-15 00:00:00,76,0,0,623,28
